Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Nursing,6131.3975,9898.8875,61.94026854027788
"Clerical, Secretarial & Steno",1320.55,2356.81,56.03124562438211
"Clerical, Secretarial & Steno",706.07,1349.95,52.303418645135004
Nursing,7810.54,15963.206666666667,48.92838990996379
Nursing,4197.74,9258.6725,45.338465098533284
Public Service Aide,14782.839999999998,35975.30666666667,41.09163025897763
Nursing,5760.045,14239.505000000001,40.45116034581258
Public Service Aide,7751.9400000000005,19203.845,40.3666036671302
Public Service Aide,10915.293333333333,27257.400000000005,40.0452476514023
Public Service Aide,12042.060000000003,30088.746666666662,40.02180660233551
Public Service Aide,9048.113333333333,22834.85666666667,39.62413018576716
Street Transit,5106.27,12909.88,39.55319491738111
Public Service Aide,14428.93,36704.62,39.31093687933562
Street Transit,5079.37,12951.925000000001,39.21710479330292
Street Transit,6882.59,17568.43,39.1758967648219
Public Service Aide,19296.41333333333,49262.72666666666,39.17041268117653
Street Transit,3893.74,9987.2,38.98730374879846
Public Service Aide,16490.793333333335,42357.04,38.932827537838655
Street Transit,5240.52,13465.95,38.91682354382721
Street Transit,7011.969999999999,18033.300000000003,38.88345449806746
Street Transit,3269.99,8441.66,38.73633858743422
Street Transit,5129.16,13252.69,38.702784114017604
Street Transit,3168.58,8188.87,38.69373918501576
Street Transit,4762.94,12314.9,38.67623772828037
Street Transit,2773.37,7184.52,38.60202212534727
Street Transit,7450.41,19303.78,38.59560148323282
Street Transit,2772.59,7187.34,38.57602395322887
Public Service Aide,24008.5475,62614.494999999995,38.34343389657619
Street Transit,3288.74,8580.455,38.32827047050535
Public Service Aide,15982.695,41736.770000000004,38.29403904518725
Street Transit,5897.745000000001,15438.039999999999,38.202679873870004
Street Transit,7056.515,18511.165,38.120318197152905
Street Transit,4534.285,11920.725,38.03699019984103
Street Transit,958.33,2519.48,38.03681712099322
Street Transit,5054.514999999999,13291.845000000001,38.027188851510076
Street Transit,1657.72,4363.73,37.988601494592935
Public Service Aide,13751.6375,36240.9975,37.944975162452415
Street Transit,15363.35,40513.41,37.921641254093394
Street Transit,9557.67,25280.35,37.806715492467475
Street Transit,10260.630000000001,27146.274999999998,37.79756154389507
Street Transit,11787.73,31249.2,37.72170167556289
Public Service Aide,7368.9349999999995,19592.36,37.61126786155419
Street Transit,3990.06,10625.05,37.55332916080395
Street Transit,6445.215,17166.225,37.54590773451938
Public Service Aide,21090.1275,56254.475,37.49057741628555
Street Transit,7603.049999999999,20306.625,37.44122915550959
Street Transit,8942.815,23899.559999999998,37.41832485618983
Public Service Aide,23367.36,62481.55,37.39881613052173
Semi-Skilled & General Labor,2760.21,7384.51,37.37837717059087
Public Service Aide,13422.73,35919.565,37.368854550437895
Street Transit,10270.63,27511.435,37.332222037854436
Street Transit,9343.67,25048.4,37.30246243273023
Street Transit,13657.75,36640.00666666667,37.27551177665361
Street Transit,1873.5166666666667,5028.163333333333,37.26045759584845
Street Transit,2660.3050000000003,7144.165,37.237451822571295
Street Transit,16363.37,43945.31,37.23575962941211
Street Transit,17372.359999999997,46693.64000000001,37.2049812351318
Street Transit,8701.195,23429.975,37.13702212657077
Street Transit,7325.09,19726.165,37.133877770970685
Street Transit,5730.895,15439.055,37.11946748036068
Street Transit,10012.52,26980.05,37.11082818601152
Street Transit,11589.425,31245.545,37.091447756792206
Street Transit,14044.766666666665,37871.13333333333,37.08567827386558
Street Transit,7374.67,19889.06,37.0790273647925
Street Transit,6796.52,18330.455,37.07774847923851
Street Transit,7985.753333333333,21548.773333333334,37.05896948194422
Street Transit,11412.46,30795.94,37.058326519664604
Street Transit,9354.04,25244.15,37.054287825100076
Nursing,3504.62,9459.63,37.04817207438346
Street Transit,17188.55,46428.27,37.02173266417207
Street Transit,27617.23,74637.105,37.00201126504036
Public Service Aide,15774.395,42653.205,36.982906677235626
Street Transit,10979.035,29702.195,36.96371598125997
Street Transit,20615.26,55775.27,36.961291267617355
Street Transit,6418.405,17372.125,36.94657389352195
Street Transit,21575.59,58418.37,36.93288600828814
Street Transit,5455.2474999999995,14776.8475,36.917532646932976
Public Service Aide,18854.453333333335,51073.60333333333,36.91623872762453
Street Transit,15675.81,42479.153333333335,36.902359792795615
Street Transit,18936.06,51324.96,36.89444667857511
Street Transit,16943.28,45924.36,36.893883768875604
Street Transit,12215.735,33123.11,36.879794801877
Street Transit,25002.600000000002,67795.74,36.87930834592262
Street Transit,21571.91,58495.22,36.878073114350194
Street Transit,20045.685,54360.56,36.8754203415123
Street Transit,11556.835000000001,31342.91,36.87224638682242
Street Transit,20981.29,56915.15,36.864156555855516
Agriculture & Horticulture,5737.045,15565.210000000001,36.858127837658465
Public Service Aide,18036.4775,48942.51,36.852375368570186
Street Transit,14212.869999999999,38567.195,36.85222635454821
Street Transit,9014.073333333334,24467.47,36.84105194911175
Street Transit,6869.04,18647.675000000003,36.83590581667687
Street Transit,14805.14,40192.44,36.835633765952004
Street Transit,3925.98,10662.79,36.819444066702985
Street Transit,23655.62,64258.56,36.81318099876499
Street Transit,6099.42,16569.3,36.81157321069689
Street Transit,765.7349999999999,2080.45,36.80621980821457
Street Transit,20734.61,56357.61,36.79114497580717
Street Transit,22055.34,59952.5,36.78802385221634
Street Transit,20692.79,56254.33,36.7843506446526
Street Transit,12186.220000000001,33133.285,36.77938966812376
Street Transit,19856.075,53997.245,36.77238533188129
Street Transit,20866.29,56755.98,36.76491886846108
Street Transit,14940.04,40663.87666666667,36.74032390582862
Street Transit,8521.53,23196.04,36.737003385060554
Street Transit,10536.06,28680.055,36.73654042853126
Street Transit,20964.81,57094.6,36.71942705614892
Street Transit,10028.656666666668,27334.533333333336,36.688596598198124
Street Transit,20961.88,57137.1,36.68698621386105
Public Service Aide,16239.506666666668,44265.19666666666,36.686850820874405
Street Transit,13247.365,36114.42,36.68164960146114
Street Transit,537.06,1464.29,36.677160944894794
Street Transit,20614.3,56214.73,36.67063774921626
Street Transit,28700.975,78306.34,36.652172735949605
Street Transit,18813.505,51336.7,36.647281574390256
Street Transit,14262.69,38921.33,36.64491937968204
Street Transit,20692.353333333333,56479.96,36.63662887391091
Street Transit,20939.583333333332,57156.43333333333,36.635566833246536
Street Transit,15907.14,43428.064999999995,36.628710028871886
Street Transit,17968.57,49057.75,36.627383033261815
Street Transit,10269.95,28043.33,36.62172074429107
Street Transit,7774.53,21233.370000000003,36.614677745454436
Street Transit,4326.85,11818.77,36.609985641483846
Street Transit,21892.27,59803.05,36.607280063475024
Street Transit,22687.52,61990.44,36.59841743339779
Correction & Detention,3673.47,10038.8,36.592720245447666
Street Transit,22589.76,61745.77,36.585113441779086
Street Transit,11952.83,32671.43,36.58496123371398
Street Transit,20050.48,54805.659999999996,36.58468851574819
Street Transit,14005.115,38294.965,36.571687687924516
Public Service Aide,17039.04,46595.47,36.56801830735906
Street Transit,11019.085,30134.399999999998,36.56646556759053
Med Therapy & Auxiliary,11959.564999999999,32712.455,36.55966817531732
Street Transit,8331.35,22789.69,36.557539834899025
Street Transit,20480.203333333335,56025.95333333333,36.55485023429023
Street Transit,17886.27,48932.415,36.55300887969662
Street Transit,2686.9,7351.45,36.5492521883438
Street Transit,12243.72,33500.136666666665,36.5482688080576
Street Transit,20404.1,55840.23,36.540143190670946
Street Transit,20819.763333333336,56994.756666666675,36.52926084955066
Street Transit,11748.11,32161.575,36.52840384838118
Street Transit,20960.19,57381.98,36.5274777900658
Street Transit,7582.870000000001,20760.38,36.52568016577732
Street Transit,15242.486666666666,41732.87,36.52393584880854
Street Transit,17564.97,48105.005,36.513809737676986
Street Transit,21287.693333333333,58304.736666666664,36.51108734962128
Street Transit,21268.26,58266.74,36.501544448857096
Street Transit,21130.87,57890.37,36.50152866530305
Street Transit,22001.82,60277.29,36.501010579606344
Street Transit,12350.769999999999,33837.676666666666,36.500053244396305
Street Transit,21049.2,57672.03,36.49810835512466
Street Transit,19062.96,52230.91,36.49746864452486
Street Transit,14763.48,40458.07,36.49081629449947
Street Transit,23057.976666666666,63204.996666666666,36.48125604415558
Revenue,7602.28,20839.28,36.48053099723215
Street Transit,12501.675,34279.125,36.47022787191913
Street Transit,14036.664999999999,38496.195,36.46247375877018
Street Transit,23126.556666666667,63431.27,36.459236377683546
Street Transit,9604.199999999999,26344.916666666668,36.45560971597936
Street Transit,14205.903333333334,38969.386666666665,36.45400800081021
Street Transit,11983.47,32883.565,36.44212542040378
Street Transit,18672.61,51242.82666666667,36.439461315170746
Street Transit,8333.29,22878.35,36.42434878389395
Street Transit,14480.185,39754.15,36.424335572512554
Street Transit,8876.66,24370.454999999998,36.42385831532485
Street Transit,16404.756666666668,45040.170000000006,36.42250166166484
Street Transit,23414.14,64286.13,36.42176002817404
Street Transit,16350.95,44904.54,36.41268789302819
Street Transit,8242.6,22642.23,36.40365812024699
Street Transit,8195.92,22517.89,36.39737115688904
Street Transit,23195.013333333336,63729.90333333334,36.39580812168186
Street Transit,15918.46,43737.925,36.39509647519858
Street Transit,11469.215,31513.260000000002,36.39488583535947
"Clerical, Secretarial & Steno",3746.255,10294.320000000002,36.39147607612742
Street Transit,7225.47,19855.86,36.38960991868396
Street Transit,3124.05,8585.62,36.387005248310544
Med Therapy & Auxiliary,7806.320000000001,21456.03,36.38287232074154
Street Transit,26175.105,71946.26999999999,36.38146216614149
Street Transit,9576.42,26326.559999999998,36.375508231990814
Street Transit,20968.766666666666,57649.43,36.372895042789956
Street Transit,15599.324999999999,42887.350000000006,36.37278824641764
Street Transit,7558.84,20784.43333333333,36.367794487220415
Street Transit,18638.65,51260.79,36.36044235759925
Revenue,6682.3,18378.31,36.359708808916594
Street Transit,13694.95,37669.47,36.355568581134804
Street Transit,24804.17333333333,68245.15999999999,36.34568859291022
Street Transit,20971.25,57707.95,36.34031359630692
Street Transit,21012.48,57830.63,36.334516846868176
Street Transit,21198.94,58357.33,36.32609648179586
Street Transit,14149.236666666666,38953.943333333336,36.322989294280255
Street Transit,2910.3,8012.35,36.32267686758566
Street Transit,20501.32,56442.26,36.32264193531584
Street Transit,16954.82,46678.39,36.32263237870886
Street Transit,16621.486666666668,45762.69,36.321043773140666
Street Transit,14309.913333333332,39399.096666666665,36.320409714977394
Street Transit,5244.74,14441.695,36.31665119641427
Street Transit,22048.0,60712.7,36.31530141140157
Street Transit,20806.34,57296.26,36.313609300153274
Street Transit,24069.68,66287.32,36.311137635372795
Public Service Aide,16422.173333333332,45229.01,36.3089382971976
Street Transit,16236.685,44729.665,36.299589992458024
Street Transit,16676.440000000002,45944.604999999996,36.29684051043643
Street Transit,13843.19,38140.27,36.29546932939909
Street Transit,19029.39,52433.655,36.29232026643956
Street Transit,6798.035,18732.66,36.28974742508538
Street Transit,21817.326666666664,60122.736666666664,36.28798001599062
Street Transit,23044.66,63513.34,36.283180824689744
Correction & Detention,22240.8475,61298.512500000004,36.28285025676601
Street Transit,8170.59,22520.72,36.280323186825285
Street Transit,22004.64,60660.87666666667,36.274846670805886
Street Transit,3920.0266666666666,10806.566666666666,36.27448742585527
Street Transit,9706.813333333334,26759.72333333334,36.27396745631525
Street Transit,20840.870000000003,57454.66666666668,36.27358961268014
Street Transit,16230.62,44746.435,36.272431535607254
Street Transit,10420.936666666666,28735.48,36.265051659713585
Street Transit,24556.47,67713.99,36.26498748633776
Public Service Aide,15233.592,42015.512,36.257066199740706
Street Transit,4631.57,12774.55,36.2562282037332
Street Transit,8311.8,22925.23,36.25612480223753
Street Transit,18390.48,50726.310000000005,36.25432246106606
Public Service Aide,22097.705,60958.445,36.250440771578084
Street Transit,12572.27,34686.835,36.24507684255425
Street Transit,20777.463333333333,57327.456666666665,36.24347658425686
Street Transit,16355.650000000001,45127.88,36.24289463630909
Public Service Aide,11794.5,32547.735,36.237544640203076
Street Transit,20690.98,57104.24333333334,36.233699620571095
Street Transit,21030.52,58044.49,36.23172500955732
Street Transit,24153.236666666664,66664.79333333333,36.23087308753375
Street Transit,13981.11,38600.64,36.21989169091498
Street Transit,3653.39,10088.26,36.214272828019894
Correction & Detention,25891.7025,71505.5725,36.20934927833772
Street Transit,7569.423333333332,20905.283333333333,36.20818341774846
Public Service Aide,24400.887499999997,67397.2,36.20460122972467
Street Transit,13630.89,37650.939999999995,36.20331922655849
Street Transit,15836.595000000001,43743.835,36.20303295310071
Street Transit,24842.980000000003,68626.835,36.20009577885968
Street Transit,21991.25333333333,60754.056666666664,36.197176846956225
Street Transit,21877.15,60443.75,36.194230172681216
Correction & Detention,19813.51,54744.375,36.1927777968056
Street Transit,23169.736666666664,64018.206666666665,36.192417552881565
Street Transit,11241.22,31059.85,36.192125847355996
Street Transit,17076.125,47184.01,36.19049122785452
Revenue,7592.09,20978.59,36.18970579052262
Street Transit,20890.203333333335,57724.90666666667,36.18923708957058
Street Transit,18420.84,50916.5,36.17852758928834
Street Transit,23800.73,65788.595,36.17759278792928
Street Transit,18153.623333333333,50181.533333333326,36.17590401781266
Nursing,957.65,2647.37,36.173636476956375
Street Transit,4712.825000000001,13028.43,36.173391575193634
Street Transit,20735.606666666667,57331.079999999994,36.168177307433716
Semi-Skilled & General Labor,23049.67,63748.130000000005,36.157405715273526
Street Transit,22226.59,61472.09,36.1572056521911
Street Transit,17021.76,47086.51,36.149971616074325
Street Transit,13823.0,38240.8,36.14725633354951
Street Transit,23418.75,64787.659999999996,36.146929832008134
Street Transit,15613.134999999998,43195.094999999994,36.14562023766819
Street Transit,28205.285,78034.47,36.14464864053027
Street Transit,19260.385000000002,53289.315,36.143052317336036
Street Transit,23269.75,64388.69499999999,36.139496226783294
Street Transit,20365.575,56370.42,36.128123579707236
Street Transit,13333.860000000002,36909.693333333336,36.125632038124046
Public Service Aide,16940.243333333332,46894.75,36.123965546960655
