Word,Freq,Rank
",",531,1
.,495,2
to,400,3
the,370,4
and,265,5
of,209,6
in,186,7
our,155,8
a,147,9
I,146,10
we,143,11
',131,12
for,122,13
that,110,14
you,99,15
this,75,16
more,69,17
s,67,18
We,66,19
it,65,20
have,61,21
all,60,22
is,54,23
will,53,24
with,51,25
-,48,26
new,46,27
on,46,28
ask,43,29
people,41,30
do,40,31
And,39,32
be,39,33
can,39,34
are,38,35
make,38,36
children,38,37
us,35,38
help,35,39
years,35,40
by,34,41
America,33,42
at,32,43
must,31,44
their,30,45
should,29,46
year,29,47
--,29,48
who,29,49
also,28,50
as,28,51
;,27,52
But,27,53
work,27,54
want,27,55
from,27,56
than,26,57
every,26,58
American,25,59
these,24,60
they,24,61
ve,23,62
Americans,23,63
care,23,64
them,22,65
so,21,66
has,21,67
was,21,68
thank,20,69
tax,19,70
gun,19,71
:,19,72
up,19,73
know,18,74
need,18,75
child,18,76
support,18,77
now,18,78
000,18,79
what,18,80
tonight,18,81
Congress,17,82
first,17,83
t,17,84
which,17,85
That,17,86
one,17,87
when,16,88
would,16,89
world,16,90
long,15,91
he,15,92
there,15,93
propose,15,94
century,15,95
just,15,96
community,15,97
not,15,98
health,14,99
time,14,100
his,14,101
$,14,102
Now,14,103
million,14,104
The,14,105
families,14,106
give,14,107
working,14,108
into,14,109
last,14,110
get,14,111
got,14,112
but,13,113
down,13,114
parents,13,115
or,13,116
pass,13,117
an,13,118
those,13,119
together,13,120
other,13,121
This,13,122
In,13,123
right,13,124
college,13,125
home,13,126
schools,12,127
school,12,128
most,12,129
let,12,130
important,12,131
credit,12,132
opportunity,12,133
me,12,134
national,11,135
here,11,136
poverty,11,137
toward,11,138
still,11,139
President,11,140
technology,11,141
good,11,142
about,11,143
economic,10,144
economy,10,145
next,10,146
For,10,147
take,10,148
both,10,149
My,10,150
percent,10,151
very,10,152
my,10,153
going,10,154
21st,10,155
budget,10,156
think,10,157
"""",10,158
markets,9,159
Medicare,9,160
hope,9,161
Nation,9,162
meet,9,163
open,9,164
say,9,165
same,9,166
So,9,167
re,9,168
affordable,9,169
great,9,170
out,9,171
single,9,172
young,9,173
lives,9,174
well,9,175
because,9,176
Tonight,9,177
China,9,178
keep,9,179
things,9,180
way,9,181
around,9,182
high,9,183
already,9,184
ever,9,185
trade,8,186
revolution,8,187
debt,8,188
only,8,189
no,8,190
education,8,191
don,8,192
fellow,8,193
steps,8,194
pay,8,195
[,8,196
best,8,197
billion,8,198
Last,8,199
sure,8,200
communities,8,201
again,8,202
without,8,203
challenge,8,204
Thank,8,205
save,8,206
It,8,207
10,8,208
big,8,209
2,8,210
back,7,211
prosperity,7,212
investments,7,213
said,7,214
leaders,7,215
before,7,216
First,7,217
many,7,218
country,7,219
ll,7,220
family,7,221
teachers,7,222
7,7,223
growth,7,224
peace,7,225
another,7,226
If,7,227
since,7,228
income,7,229
course,7,230
investment,7,231
times,7,232
],7,233
science,7,234
30,7,235
responsibility,7,236
go,7,237
succeed,7,238
protect,7,239
quality,7,240
bipartisan,7,241
believe,7,242
today,7,243
strengthen,7,244
did,6,245
bring,6,246
House,6,247
invest,6,248
safety,6,249
step,6,250
plan,6,251
any,6,252
something,6,253
largest,6,254
Let,6,255
women,6,256
helped,6,257
lowest,6,258
research,6,259
5,6,260
Vice,6,261
freedom,6,262
1,6,263
between,6,264
goal,6,265
job,6,266
low,6,267
use,6,268
3,6,269
tools,6,270
chance,6,271
cannot,6,272
were,6,273
Today,6,274
reach,6,275
three,6,276
been,6,277
These,6,278
Internet,6,279
better,6,280
much,6,281
business,6,282
future,6,283
far,6,284
generation,6,285
even,6,286
ought,6,287
States,6,288
always,6,289
legislation,6,290
look,6,291
To,5,292
lead,5,293
build,5,294
laws,5,295
You,5,296
A,5,297
its,5,298
own,5,299
two,5,300
Act,5,301
reward,5,302
being,5,303
cause,5,304
Laughter,5,305
drugs,5,306
part,5,307
industry,5,308
fight,5,309
lot,5,310
crime,5,311
ready,5,312
Mr,5,313
provide,5,314
double,5,315
begin,5,316
making,5,317
like,5,318
ago,5,319
guns,5,320
live,5,321
standards,5,322
global,5,323
prevent,5,324
over,5,325
incentives,5,326
record,5,327
your,5,328
thing,5,329
could,5,330
They,5,331
major,5,332
cut,5,333
1993,5,334
put,5,335
funding,5,336
State,5,337
reform,5,338
progress,5,339
initiative,5,340
dreams,5,341
had,5,342
men,5,343
reduce,5,344
life,5,345
weapons,5,346
tell,5,347
increase,5,348
20,5,349
nations,5,350
proposed,5,351
race,4,352
worked,4,353
Tom,4,354
recognize,4,355
too,4,356
rest,4,357
goals,4,358
some,4,359
millions,4,360
citizen,4,361
100,4,362
coverage,4,363
tech,4,364
based,4,365
ensure,4,366
aging,4,367
old,4,368
rate,4,369
after,4,370
means,4,371
citizens,4,372
choose,4,373
White,4,374
laughter,4,375
leave,4,376
drug,4,377
choice,4,378
program,4,379
Of,4,380
As,4,381
efforts,4,382
".""",4,383
teach,4,384
prescription,4,385
Captain,4,386
change,4,387
EITC,4,388
see,4,389
act,4,390
grow,4,391
expand,4,392
]--,4,393
Social,4,394
security,4,395
Government,4,396
Soon,4,397
middle,4,398
retirement,4,399
areas,4,400
history,4,401
rates,4,402
learn,4,403
Security,4,404
consensus,4,405
United,4,406
moment,4,407
issue,4,408
globalization,4,409
allow,4,410
Sun,4,411
led,4,412
stand,4,413
efficient,4,414
welfare,4,415
vital,4,416
hire,4,417
access,4,418
environment,4,419
jobs,4,420
ideas,4,421
common,4,422
programs,4,423
Russia,4,424
When,4,425
hands,4,426
dollar,4,427
create,4,428
others,4,429
continue,4,430
